totalQtyOwned,name,printNumber,finish,variant,expansion,game,condition,language,price
2,Shepherding Spirits,31,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
2,Surgical Suite,34,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.12
4,Trapped in the Screen,36,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
3,Unsettling Twins,38,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
2,Unwanted Remake,39,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.19
1,Veteran Survivor,40,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.13
2,Clammy Prowler,45,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
2,Creeping Peeper,46,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
1,Daggermaw Megalodon,48,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
3,Daggermaw Megalodon,48,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
3,Don't Make a Sound,49,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
2,Duskmourn's Domination,50,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
1,Enter the Enigma,52,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.16
4,Enter the Enigma,52,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.16
1,Erratic Apparition,54,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
1,Fear of Failed Tests,55,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.15
2,Fear of Falling,56,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
2,Fear of Impostors,57,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.20
1,Fear of Isolation,58,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.12
1,Ghostly Keybearer,61,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
2,Glimmerburst,62,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
1,Glimmerburst,62,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
1,Meat Locker,65,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
2,Meat Locker,65,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Paranormal Analyst,69,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.14
2,Piranha Fly,70,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
3,Stalked Researcher,73,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
3,Tunnel Surveyor,76,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
1,Tunnel Surveyor,76,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
1,Twist Reality,77,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
2,Twist Reality,77,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
2,Unable to Scream,78,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.17
2,Underwater Tunnel,79,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
1,Unnerving Grasp,80,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
2,Vanish from Sight,82,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
3,Appendage Amalgam,83,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
3,Balemurk Leech,84,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.12
3,Cackling Slasher,85,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
3,Cracked Skull,88,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
1,Cynical Loner,89,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.24
1,Dashing Bloodsucker,90,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
2,Defiled Crypt,91,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.19
1,Derelict Attic,93,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
2,Fanatic of the Harrowing,96,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
3,Fear of Lost Teeth,97,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
2,Fear of the Dark,98,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
2,Final Vengeance,99,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
3,Give In to Violence,101,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
2,Innocuous Rat,103,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.13
1,Killer's Mask,104,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
1,Live or Die,107,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.11
1,Miasma Demon,109,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.09
1,Osseous Sticktwister,112,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.16
1,Popular Egotist,114,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.20
4,Resurrected Cultist,115,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
1,Spectral Snatcher,116,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
2,Sporogenic Infection,117,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
4,Winter's Intervention,123,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.09
1,Winter's Intervention,123,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.09
1,Withering Torment,124,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,2.58
2,Withering Torment,124,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,2.58
4,Bedhead Beastie,125,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Betrayer's Bargain,126,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
3,Boilerbilges Ripper,127,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
2,Clockwork Percussionist,130,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.16
1,Diversion Specialist,132,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
1,Fear of Being Hunted,134,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
2,Fear of Burning Alive,135,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.11
1,Fear of Missing Out,136,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,3.68
2,Glassworks,137,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
1,Glassworks,137,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
2,Grab the Prize,138,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.43
3,Hand That Feeds,139,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
3,Impossible Inferno,140,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
1,Irreverent Gremlin,142,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.15
1,Irreverent Gremlin,142,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.15
1,Leyline of Resonance,143,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.52
2,Most Valuable Slayer,144,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
1,Most Valuable Slayer,144,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
1,Painter's Studio,147,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.15
1,Piggy Bank,148,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.16
1,Ragged Playmate,150,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.13
3,Ragged Playmate,150,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.13
2,Rampaging Soulrager,151,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
2,Razorkin Hordecaller,152,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
2,Ripchain Razorkin,154,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
2,Ticket Booth,158,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.11
1,Trial of Agony,159,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
2,Turn Inside Out,160,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Untimely Malfunction,161,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,4.81
2,Vengeful Possession,162,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
3,Vicious Clown,163,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
1,Violent Urge,164,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.41
1,Waltz of Rage,165,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.19
2,"Altanak, the Thrice-Called",166,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.18
4,Anthropede,167,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
2,Bashful Beastie,169,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
2,Cautious Survivor,172,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Coordinated Clobbering,173,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.09
3,Cryptid Inspector,174,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
1,Defiant Survivor,175,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
1,Fear of Exposure,177,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
3,Flesh Burrower,178,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
2,Frantic Strength,179,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
1,Grasping Longneck,180,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
3,Grasping Longneck,180,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Greenhouse,181,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
2,Horrid Vigor,184,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Horrid Vigor,184,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,House Cartographer,185,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.16
1,"Kona, Rescue Beastie",187,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.83
3,Manifest Dread,189,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
2,Moldering Gym,190,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.12
1,Moldering Gym,190,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.12
2,Monstrous Emergence,191,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.15
1,Patchwork Beastie,195,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.18
1,Patchwork Beastie,195,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.18
1,Rootwise Survivor,196,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
2,Say Its Name,197,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
2,Slavering Branchsnapper,198,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
2,Spineseeker Centipede,199,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
1,Threats Around Every Corner,200,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.18
3,Wary Watchdog,206,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
1,Wary Watchdog,206,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
1,"Arabella, Abandoned Doll",208,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.29
1,Baseball Bat,209,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
2,Beastie Beatdown,210,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
2,Broodspinner,211,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
1,Disturbing Mirth,212,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
2,Drag to the Roots,213,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.20
1,Fear of Infinity,214,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.11
1,Growing Dread,216,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
1,Intruding Soulrager,218,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
1,Roaring Furnace,230,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.36
1,Shrewd Storyteller,232,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
1,Skullsnap Nuisance,234,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
1,Smoky Lounge,235,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
1,Wildfire Wickerfolk,239,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.12
1,"Zimone, All-Questioning",241,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.21
1,"Zimone, All-Questioning",241,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.21
2,Attack-in-the-Box,242,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
3,Bear Trap,243,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
2,Conductive Machete,244,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
3,Found Footage,246,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
1,Friendly Teddy,247,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
3,Glimmerlight,249,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
1,Haunted Screen,250,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Keys to the House,251,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
2,Malevolent Chandelier,252,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
1,Malevolent Chandelier,252,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
1,Saw,254,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
1,Abandoned Campground,255,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.11
1,Floodfarm Verge,259,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,7.91
1,Lakeside Shack,262,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.11
1,Neglected Manor,264,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.15
1,Neglected Manor,264,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.15
1,Raucous Carnival,266,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Razortrap Gorge,267,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.23
1,Strangled Cemetery,268,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.17
1,Strangled Cemetery,268,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.17
1,"Stay Hidden, Stay Silent",291,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.18
1,Come Back Wrong,292,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.41
1,Insidious Fungus,321,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.42
1,Insidious Fungus,321,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.42
2,Under the Skin,323,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.12
1,Screaming Nemesis,348,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,8.87
1,"Kaito, Bane of Nightmares",409,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,58.00
2,Valgavoth's Faithful,412,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.09
1,Inquisitive Glimmer,415,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.17
1,"Auntie Ool, Cursewretch",2,Foil,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.36
1,"The Reaper, King No More",4,Foil,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.70
1,Aberrant Return,7,Standard,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.50
1,Grave Venerations,9,Standard,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,1.42
1,Sinister Gnarlbark,12,Standard,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.82
1,Village Pillagers,14,Standard,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.67
1,"Ferrafor, Young Yew",16,Standard,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.39
1,Puca's Covenant,18,Standard,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.30
1,Wickersmith's Tools,21,Standard,,Lorwyn Eclipsed Commander,Magic: The Gathering,NM,en,0.16
